customer_id,customer_name,customer_type,industry,country,city,credit_limit_rmb,payment_terms,account_manager,since_date,active,annual_spend_rmb_est
CUST0001,客户_A001,潜在,油墨,日本,成都,140981,货到付款,李娜,2018-10-01,True,362296.0
CUST0002,客户_A002,普通,化妆品,中国,苏州,180806,月结60天,刘洋,2017-03-01,True,3327156.0
CUST0003,客户_A003,普通,涂料,日本,北京,121039,预付款,刘洋,2017-05-01,True,804510.0
CUST0004,客户_A004,大客户,食品,中国,北京,804285,月结60天,陈明,2019-09-01,True,1436516.0
CUST0005,客户_A005,大客户,塑料,日本,深圳,1819130,月结60天,刘洋,2023-11-01,True,4385195.0
CUST0006,客户_A006,普通,油墨,日本,成都,142532,月结30天,陈明,2018-10-01,True,24621.0
CUST0007,客户_A007,大客户,电子,日本,成都,973438,月结60天,王芳,2023-07-01,True,3872731.0
CUST0008,客户_A008,大客户,纺织,美国,杭州,1355094,月结60天,刘洋,2017-06-01,True,3696126.0
CUST0009,客户_A009,潜在,塑料,日本,深圳,62933,月结30天,张伟,2019-03-01,False,1939228.0
CUST0010,客户_A010,普通,食品,中国,北京,164589,月结60天,李娜,2019-07-01,True,1530900.0
CUST0011,客户_A011,潜在,纺织,中国,成都,30189,货到付款,刘洋,2018-02-01,True,2498971.0
CUST0012,客户_A012,潜在,食品,韩国,成都,45863,月结60天,刘洋,2020-02-01,True,2881466.0
CUST0013,客户_A013,普通,纺织,中国,杭州,196274,月结30天,李娜,2019-08-01,True,3769137.0
CUST0014,客户_A014,潜在,化妆品,德国,杭州,31547,月结60天,陈明,2020-02-01,True,3214225.0
CUST0015,客户_A015,大客户,塑料,美国,北京,1267017,月结60天,张伟,2018-11-01,True,2706160.0
CUST0016,客户_A016,普通,食品,德国,深圳,93111,月结60天,刘洋,2017-03-01,True,86625.0
CUST0017,客户_A017,大客户,电子,中国,杭州,1346500,预付款,王芳,2015-01-01,True,3783046.0
CUST0018,客户_A018,大客户,化妆品,德国,北京,1225349,月结60天,李娜,2017-01-01,True,1725283.0
CUST0019,客户_A019,普通,化妆品,德国,苏州,52274,月结30天,陈明,2023-08-01,False,1839999.0
CUST0020,客户_A020,潜在,食品,德国,成都,57950,货到付款,张伟,2019-04-01,True,3359559.0
CUST0021,客户_B021,潜在,电子,中国,广州,150658,月结60天,李娜,2016-10-01,True,2476864.0
CUST0022,客户_B022,大客户,纺织,中国,北京,1139426,月结30天,张伟,2022-04-01,True,421956.0
CUST0023,客户_B023,普通,涂料,韩国,上海,69727,货到付款,张伟,2017-02-01,True,1697820.0
CUST0024,客户_B024,大客户,汽车,中国,苏州,90625,预付款,张伟,2020-05-01,True,3553511.0
CUST0025,客户_B025,大客户,油墨,韩国,成都,418918,月结30天,李娜,2020-10-01,True,4173374.0
CUST0026,客户_B026,潜在,汽车,日本,苏州,129028,月结30天,王芳,2015-04-01,True,3752554.0
CUST0027,客户_B027,大客户,纺织,德国,杭州,1226762,预付款,王芳,2016-04-01,True,1748092.0
CUST0028,客户_B028,大客户,塑料,中国,成都,144361,预付款,王芳,2020-02-01,True,3061734.0
CUST0029,客户_B029,普通,电子,日本,北京,156560,预付款,刘洋,2015-05-01,True,3827412.0
CUST0030,客户_B030,潜在,涂料,中国,杭州,67156,预付款,刘洋,2020-02-01,True,3354985.0
CUST0031,客户_B031,潜在,电子,韩国,上海,148878,月结30天,王芳,2019-05-01,True,4484135.0
