SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD110,25072260,0,12511,0,0,12511,12511,1000,E-4,12511,0,,2025-07
FWD110,24100761,1957.05,0,1055.55,901.5,0,,,,0,0,,2025-07
FWD111,23112560,903.14,0,275,25,603.14,603.14,479,2C-4,603.14,0,,2025-07
FWD111M,24092061,2737.4,0,0,575,2162.4,2162.4,459,2E-1,2162.4,0,2个零头,2025-07
FWD111MT,24040761,1173.8,0,0,276,897.8,897.8,333,B-1,897.8,0,,2025-07
FWD120,24072661,75,0,50,25,0,14300,2000,,0,0,,2025-07
FWD120,25030360,5918.6,0,413.6,205,5300,,,B-1,5300,0,,2025-07
FWD120,25030360-箱,9000,0,0,0,9000,,,A-2,9000,0,,2025-07
FWD120K,25041461,1025,0,0,0,1025,1025,,B-2,1025,0,,2025-07
FWD122,25022462,2262.2,0,761.2,226,1275,1275,1000,2G-4,1275,0,,2025-07
FWD122,24040764,0.5,0,0.5,0,0,,,,0,0,,2025-07
FWD123,24072660,3186.3,0,0,481,2705.3,2705.3,783,B-1,2705.3,0,,2025-07
定制123,D24112161,1591,0,0,0,1591,1591,,C-2,1591,0,,2025-07
FWD123T,25011360,568,0,91,302,175,1900,400,E-2,175,0,,2025-07
FWD123T,25070261,0,2625,0,900,1725,,,C-1,1725,0,,2025-07
FWD100,25052061,14551,0,125,6312.06,8113.94,22118.44,5000,E-3,8113.94,0,,2025-07
FWD100,25071661,0,4005,0,350,3655,,,B-2,3655,0,,2025-07
FWD100,25071661箱,0,20000,0,10000,10000,,,E-5,10000,0,,2025-07
FWD100,25021860-箱,3849.5,0,0,3500,349.5,,,E-5,349.5,0,,2025-07
FWD100,25052061箱,5000,0,0,5000,0,,,,0,0,,2025-07
FWD100,25022860,525,0,0,525,0,,,,0,0,,2025-07
FWD173,25052061,0,125,0,125,0,0,,,0,0,,2025-07
FWD100,H23123060,872,0,0,0,872,872,,C-2,872,0,,2025-07
FWD100K,25040361,363,0,0,363,0,10813,,,0,0,,2025-07
FWD100K,25040361,12000,0,0,1187,10813,,,E-3,10813,0,,2025-07
FWD100,D25061961,3,0,0,0,3,3,,D-2,3,0,,2025-07
FWD100W,25061460,2099,0,0,200,1899,1899,,C-1,1899,0,,2025-07
FWD101,24050561,2875,0,0,776,2099,2099,1000,E-2,2099,0,,2025-07
FWD101T,25060562,4073,0,0,0,4073,4573,0,C-1,4073,0,,2025-07
FWD101T,25030661,500,0,0,0,500,,,C-1,500,0,,2025-07
FWD173,25011361,1940,0,0,276,1664,13509,1000,E-4,1664,0,,2025-07
FWD173,25061960,14700,145,0,3000,11845,,,C-2,11845,0,,2025-07
FWD173K,22110860,596.46,0,0,0,596.46,596.46,,B-2,596.46,0,,2025-07
FWD103,24110561,0.75,0,0,0,0.75,9019.55,1000,A1货架,0.75,0,,2025-07
FWD103,25031060,2924.8,0,0,456,2468.8,,,C-1,2468.8,0,,2025-07
FWD103,25031060箱,6550,0,0,0,6550,,,3A-1,6550,0,,2025-07
FWD151,24081461,1117.79,0,0,1117.79,0,3201.69,1000,,0,0,,2025-07
FWD151,24081461,3909.9,0,0,708.21,3201.69,,,E3-D2,3201.69,0,3个零头,2025-07
FWD151K,25050860,1650,0,0,500,1150,1150,,B-1,1150,0,,2025-07
FWD153,25010960,3103.75,0,0,51,3052.75,3052.75,1000,E-2,3052.75,0,,2025-07
FWD153,D24112160,2000,0,0,0,2000,2000,,A-2,2000,0,,2025-07
FWD163,24090760-箱,4018,0,0,551,3467,3467,745,B-2,3467,0,,2025-07
HC010AS(云母粉）,25031962,960,0,0,0,960,960,,B-1,960,0,,2025-07
HC025（云母粉）,25070164,0,629,0,625,4,4,,D-2,4,0,,2025-07
FWD104Z,25061661,4503.28,0,0,215.8,4287.48,4287.48,,车间,4287.48,0,,2025-07
FWD001,17092062,0.3,0,0,0,0.3,2672.6,,E-1,0.3,0,,2025-07
FWD001,15120460,25,0,0,0,25,,,E-1,25,0,退,2025-07
FWD001,25062063,2672.3,0,0,25,2647.3,,,D-2,2647.3,0,,2025-07
FWD205,25022460-箱,2736.35,0,0,292.47,2443.88,2443.88,800,A-3,2443.88,0,,2025-07
FWD2205G,25031963,1808,0,0,50,1758,1758,500,2B-3,1758,0,,2025-07
FWD205A,25022260,2761,0,0,0,2761,2761,410,E-4,2761,0,,2025-07
FWD215,23111161,0.73,0,0,0,0.73,1973.73,500,D-2,0.73,0,,2025-07
FWD215,24110960,2429,0,0,456,1973,,,2B-3,1973,0,,2025-07
FWD219,24042061,1387.8,0,0,182,1205.8,1205.8,500,2G-2,1205.8,0,,2025-07
FWD219S,20121160,200,0,0,200,0,0,0,,0,0,,2025-07
FWD219K,24042760,800,0,0,0,800,800,,2D-1,800,0,,2025-07
FWD225,24101960,2435,0,0,1226,1209,1209,773,2C-1,1209,0,,2025-07
FWD225,H25042861,367,0,0,0,367,367,,B-1,367,0,,2025-07
FWD225Z,25041060,2343,0,0,0,2343,2343,,2C-3,2343,0,,2025-07
FWD225S,25070862,0,3459,0,500,2959,2959,0,2E-2,2959,0,,2025-07
FWD225A,24010261,200,0,0,0,200,200,,2D-1,200,0,,2025-07
FWD235,23060161,8.3,0,0,1,7.3,901.93,500,D-2,7.3,0,,2025-07
FWD235,24011562,1123.1,0,0,228.47,894.63,,,2C-4,894.63,0,,2025-07
FWD235T,19062263,150,0,0,0,150,150,,4E-4,150,0,,2025-07
FWD235K,21041563,150,0,0,150,0,0,,,0,0,,2025-07
