SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
BHC150,202412163679,4751.48,3676.4,523.62,301.54,7602.72,7602.72,590.72,E-2,7599.92,-2.8,,2024-12
BHC150,202412270103,1705.16,935.44,328.42,1650.03,662.15,662.15,590.72,E-2,659.67,-2.48,,2024-12
BHC150,202412403334,5346.43,2394.46,298.9,2424.45,5017.54,5017.54,590.72,E-2,4977.93,-39.61,,2024-12
BHC150,202412666278,4672.31,1972.26,520.44,2097.29,4026.84,4026.84,590.72,E-2,3989.63,-37.21,,2024-12
BHC150,202412894343,2560.43,3217.28,352.81,181.39,5243.51,5243.51,590.72,E-2,5238.34,-5.17,,2024-12
BHC151,202412109824,2950.66,1170.91,515.43,1615.76,1990.38,1990.38,343,E-1,1994.3,3.92,,2024-12
BHC151,202412240948,1327.63,1045.59,423.56,1325.09,624.57,624.57,343,E-1,616.29,-8.28,,2024-12
BHC151,202412400058,4529.04,3618.82,451.02,2370.31,5326.53,5326.53,343,E-1,5375.24,48.71,,2024-12
BHC151,202412408927,5853.83,2949.68,281.34,695.79,7826.38,7826.38,343,E-1,7736.84,-89.54,,2024-12
BHC151,202412634211,2527.63,2740.65,296.72,1115.68,3855.88,3855.88,343,E-1,3792.85,-63.03,,2024-12
BHC152,202412288290,5483.57,1271.38,156.88,1564.51,5033.56,5033.56,537.15,C-6,5130.36,96.8,,2024-12
BHC152,202412376195,5309.59,3958.55,572.78,1938.42,6756.94,6756.94,537.15,C-6,6732.18,-24.76,,2024-12
BHC152,202412414867,2296.43,20.44,435.68,1297.89,583.3,583.3,537.15,C-6,577.95,-5.35,,2024-12
BHC152,202412416346,1117.21,2212.18,517.78,576.07,2235.54,2235.54,537.15,C-6,2212.61,-22.93,,2024-12
BHC152,202412455320,307.51,1991.82,524.65,851.78,922.9,922.9,537.15,C-6,919.36,-3.54,,2024-12
BHC152,202412459375,5821.05,910.93,539.04,1789.53,4403.41,4403.41,537.15,C-6,4422.3,18.89,,2024-12
BHC152,202412793320,5665.21,707.63,126.65,812.33,5433.86,5433.86,537.15,C-6,5467.62,33.76,,2024-12
BHC152,202412858908,1105.96,1822.04,531.82,1363.75,1032.43,1032.43,537.15,C-6,1024.78,-7.65,,2024-12
BHC153,202412281220,3644.46,2906.07,46.64,858.55,5645.34,5645.34,145.09,D-2,5569.03,-76.31,,2024-12
BHC153,202412292062,1611.52,434.95,205.09,1841.38,0,0,145.09,D-2,0,0,,2024-12
BHC153,202412345089,2448.61,1033.58,193.42,2147.03,1141.74,1141.74,145.09,D-2,1158.6,16.86,,2024-12
BHC153,202412557826,4645.04,1215.8,95.27,208.4,5557.17,5557.17,145.09,D-2,5556.19,-0.98,,2024-12
BHC153,202412759582,4779.98,439.73,563.08,815.39,3841.24,3841.24,145.09,D-2,3772.8,-68.44,,2024-12
BHC153,202412838744,857.68,833.16,51.46,1639.38,0,0,145.09,D-2,0.81,0.81,,2024-12
BHC154,202412323663,3600.57,201.15,434.73,1154.34,2212.65,2212.65,553.47,C-1,2198.95,-13.7,,2024-12
BHC154,202412454477,3926.93,2565.78,492.51,1645.51,4354.69,4354.69,553.47,C-1,4319.86,-34.83,,2024-12
BHC154,202412517875,1952.47,1269.2,378.81,1727.69,1115.17,1115.17,553.47,C-1,1106.06,-9.11,,2024-12
BHC154,202412642405,130.26,3061.76,70.24,2252.28,869.5,869.5,553.47,C-1,882.68,13.18,,2024-12
BHC154,202412695384,3555.1,3628.87,207.52,2092.1,4884.35,4884.35,553.47,C-1,4830.73,-53.62,,2024-12
BHC154,202412853974,2361.23,2094.43,479.39,1718.55,2257.72,2257.72,553.47,C-1,2285.25,27.53,,2024-12
BHC154,202412883123,4098.01,62.96,485.73,112.36,3562.88,3562.88,553.47,C-1,3506.14,-56.74,,2024-12
BHC155,202412164225,3465.33,1874.83,475.08,313.54,4551.54,4551.54,290.24,B-8,4589.55,38.01,,2024-12
BHC155,202412334431,2992.61,2314.07,405.57,1583.4,3317.71,3317.71,290.24,B-8,3346.69,28.98,,2024-12
BHC155,202412446435,5769.36,3927.74,453.34,670.5,8573.26,8573.26,290.24,B-8,8572.3,-0.96,,2024-12
BHC155,202412742893,4659.1,3135.47,468.65,2050.05,5275.87,5275.87,290.24,B-8,5264.59,-11.28,,2024-12
BHC155,202412981603,5341.3,989.54,328.71,2000.54,4001.59,4001.59,290.24,B-8,3996.4,-5.19,,2024-12
BHC156,202412148699,4261.1,1620.23,292.41,1849.83,3739.09,3739.09,635.88,B-1,3717.18,-21.91,,2024-12
BHC156,202412249361,2320.86,272.67,202.24,53.3,2337.99,2337.99,635.88,B-1,2363.62,25.63,,2024-12
BHC156,202412297411,183.38,1919.54,495.1,1607.82,0,0,635.88,B-1,0.18,0.18,,2024-12
BHC156,202412884206,5306.12,3649.81,142.77,1752.25,7060.91,7060.91,635.88,B-1,7058.19,-2.72,,2024-12
BHC157,202412389518,566.35,3148.46,222.01,167.18,3325.62,3325.62,702.64,A-2,3286.75,-38.87,,2024-12
BHC157,202412449838,3086.05,2200.91,329.37,179.44,4778.15,4778.15,702.64,A-2,4846.4,68.25,,2024-12
BHC157,202412593533,4076.35,393.43,112.33,2325.96,2031.49,2031.49,702.64,A-2,2030.65,-0.84,,2024-12
BHC157,202412673649,423.23,3656.64,214.77,1782.72,2082.38,2082.38,702.64,A-2,2131.91,49.53,,2024-12
BHC157,202412718658,3359.51,2963.62,301.01,1764.94,4257.18,4257.18,702.64,A-2,4211.68,-45.5,,2024-12
BHC158,202412116892,2841.02,950.9,101.08,36.72,3654.12,3654.12,778.97,C-2,3609.49,-44.63,,2024-12
BHC158,202412230302,1038.75,973.61,46.46,605.75,1360.15,1360.15,778.97,C-2,1385.61,25.46,,2024-12
BHC158,202412269808,2547.71,2725,228.37,1191.46,3852.88,3852.88,778.97,C-2,3852.76,-0.12,,2024-12
