SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD110,24100761,3132.55,0,0,525.5,2607.05,2607.05,1000,2F-2,2607.05,0,,2025-05
FWD110,H25051660,0,1475,0,1475,0,,,,0,0,,2025-05
FWD111,23112560,1053.14,0,0,125,928.14,928.14,479,2C-4,928.14,0,3个零头,2025-05
FWD111M,24092061,3563.4,0,50,151,3362.4,3362.4,459,2E-1,3362.4,0,2个零头,2025-05
FWD111MT,24040761,1273.8,0,0,100,1173.8,1173.8,333,B-1,1173.8,0,,2025-05
FWD120,24072661,1250,0,0,825,425,15418.6,2000,C-2,425,0,,2025-05
FWD120,25030360,5993.8,0,0,0,5993.6,,,B-1,5993.6,0,,2025-05
FWD120,25030360-箱,9000,0,0,0,9000,,,A-2,9000,0,,2025-05
FWD120,D25030561,500,0,0,500,0,0,,,0,0,,2025-05
FWD120K,25041461,2383,0,8,900,1475,1475,,C-2,1475,0,,2025-05
FWD122,25022462,2462.2,0,0,150,2312.2,2312.7,1000,2G-4,2312.2,0,,2025-05
FWD122,24040764,0.5,0,0,0,0.5,,,D-2,0.5,0,,2025-05
FWD123,24072660,3861.3,0,0,350,3511.3,3511.3,783,B-1,3511.3,0,,2025-05
定制123,D24112161,3566,0,0,950,2616,2616,,C-2,2616,0,,2025-05
FWD123T,25011360,1823,0,0,1055,768,768,400,E-2,768,0,,2025-05
FWD100,25022860,3729.6,0,129.6,1200,2400,30805.5,5000,E-4,2400,0,,2025-05
FWD100,25021860-箱,13149.5,0,0,9300,3849.5,,,E-5,3849.5,0,,2025-05
FWD100,25052061,0,14556,0,0,14556,,,E-3,14556,0,,2025-05
FWD100,25052061箱,0,4600,0,0,4600,,,E-4,4600,0,,2025-05
FWD100,25052061箱,0,5400,0,0,5400,,,E-5,5400,0,,2025-05
FWD100,25011660,13.75,0,13.75,0,0,,,,0,0,,2025-05
FWD173,25022860,0,125,0,125,0,0,,,0,0,,2025-05
FWD100,H23123060,872,0,0,0,872,872,,C-2,872,0,,2025-05
FWD100K,25040361,7863,0,0,1950,5913,17913,,E-4,5913,0,,2025-05
FWD100K,25040361,12000,0,0,0,12000,,,E-3,12000,0,,2025-05
FWD100,D24121460,500,0,0,500,0,0,,,0,0,,2025-05
FWD100W,24031160,750,0,0,400,350,350,,C-2,350,0,,2025-05
FWD101,24050561,3525,0,0,325,3200,3200,1000,E-2,3200,0,,2025-05
FWD101T,25030661,2787,0,0,1500,1287,1287,0,C-1,1287,0,,2025-05
