SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD110,25072260,10644.62,0.0,0.0,910.5,9734.12,9734.12,1000.0,E-4,9734.12,0.0,,2025-09
FWD111,23112560,602.24,0.0,0.0,75.0,527.24,527.24,479.0,2C-4,527.24,0.0,,2025-09
FWD111M,24092061,2011.4,0.0,0.0,351.0,1660.4,1660.4,459.0,2E-1,1660.4,0.0,2个零头,2025-09
FWD111MT,24040761,822.8,0.0,0.0,200.0,622.8,622.8,333.0,B-1,622.8,0.0,,2025-09
FWD120,25030360,9000.0,0.0,0.0,25.0,8975.0,12775.5,2000.0,A-2,8975.0,0.0,,2025-09
FWD120,25030360,4400.5,0.0,0.0,600.0,3800.5,,,B-1,3800.5,0.0,,2025-09
FWD120K,25041461,1025.0,0.0,0.0,0.0,1025.0,1025.0,,B-2,1025.0,0.0,,2025-09
FWD122,25022462,1144.0,0.0,0.0,375.0,769.0,5294.0,1000.0,2G-4,769.0,0.0,,2025-09
FWD122,25080160,5525.0,0.0,1000.0,0.0,4525.0,,,E-3,4525.0,0.0,,2025-09
FWD123,24072660,2455.3,0.0,0.0,400.0,2055.3,2055.3,783.0,B-1,2055.3,0.0,,2025-09
定制123,24112161,416.0,0.0,16.0,100.0,300.0,3454.0,,C-2,300.0,0.0,,2025-09
定制123,25090260,0.0,4054.0,0.0,900.0,3154.0,,,E-2,3154.0,0.0,,2025-09
FWD123T,,0.0,0.0,0.0,0.0,0.0,719.0,400.0,,0.0,0.0,,2025-09
FWD123T,25070261,1500.0,0.0,0.0,781.0,719.0,,,C-1,719.0,0.0,,2025-09
FWD100,25052061,5450.0,0.0,125.0,2050.0,3275.0,42536.0,5000.0,E-3,3275.0,0.0,,2025-09
FWD100,25071661,3655.0,0.0,0.0,0.0,3655.0,,,B-2,3655.0,0.0,,2025-09
FWD100,25071661,6900.0,0.0,0.0,50.0,6850.0,,,E-5,6850.0,0.0,,2025-09
FWD100,25080460,8789.0,0.0,33.0,0.0,8756.0,,,E-4,8756.0,0.0,,2025-09
FWD100,25080460,10000.0,0.0,0.0,0.0,10000.0,,,E-2,10000.0,0.0,,2025-09
瑞克100,25080460,10000.0,0.0,0.0,0.0,10000.0,,,E-5,10000.0,0.0,,2025-09
FWD173,25052061,0.0,125.0,0.0,125.0,0.0,0.0,,,0.0,0.0,,2025-09
FWD100,23123060,872.0,0.0,0.0,200.0,672.0,672.0,,C-2,672.0,0.0,,2025-09
FWD100K,25040361,9463.0,0.0,0.0,1100.0,8363.0,8363.0,,E-3,8363.0,0.0,,2025-09
FWD100W,25061460,1399.0,0.0,0.0,350.0,1049.0,1049.0,,C-1,1049.0,0.0,,2025-09
FWD101,24050561,1549.0,0.0,0.0,550.0,999.0,999.0,1000.0,E-2,999.0,0.0,,2025-09
FWD101T,25060562,4073.0,0.0,0.0,0.0,4073.0,4273.0,0.0,C-1,4073.0,0.0,,2025-09
FWD101T,25030661,500.0,0.0,0.0,300.0,200.0,,,C-1,200.0,0.0,,2025-09
FWD173,25011361,1512.0,0.0,0.0,390.0,1122.0,10967.0,1000.0,C-2,1122.0,0.0,,2025-09
FWD173,25061960,9845.0,0.0,0.0,0.0,9845.0,,,C-2,9845.0,0.0,,2025-09
