SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD110,25072260,8484.12,0.0,0.0,1155.0,7329.12,7329.12,1000.0,E-4,7329.12,0,,2025-11
FWD111,23112560,402.04,0.0,0.0,50.0,351.19,351.19,479.0,2C-4,349.19,-2,,2025-11
FWD111M,24092061,1482.4,0.0,200.0,575.0,707.4,707.4,459.0,2E-1,707.4,0,2个零头,2025-11
FWD111MT,24040761,522.8,0.0,0.0,2.0,520.8,520.8,333.0,B-1,520.8,0,,2025-11
FWD120,25030360,7975.0,0.0,0.0,50.0,7925.0,10072.8,2000.0,A-2,7925.0,0,,2025-11
FWD120,25030360,3644.3,0.0,0.0,1496.5,2147.8,,,B-1,2147.8,0,,2025-11
FWD120K,25041461,1025.0,0.0,0.0,0.0,1025.0,1025.0,,B-2,1025.0,0,,2025-11
FWD121,,0.0,0.0,0.0,0.0,0.0,0.0,314.0,,0.0,0,,2025-11
FWD122,25022462,668.3,0.0,0.0,275.0,393.3,4917.7,1000.0,2G-4,393.3,0,,2025-11
FWD122,25080160,4524.4,0.0,0.0,0.0,4524.4,,,E-3,4524.4,0,,2025-11
FWD123,24072660,1595.3,0.0,0.0,425.0,1170.3,1170.3,783.0,B-1,1170.3,0,,2025-11
定制123,24112161,150.0,0.0,0.0,0.0,150.0,2404.0,,C-2,150.0,0,,2025-11
定制123,25090260,2254.0,0.0,0.0,0.0,2254.0,,,E-2,2254.0,0,,2025-11
FWD123T,25111962,0.0,5628.0,0.0,1.0,5627.0,5627.0,400.0,B-1,5627.0,0,,2025-11
FWD123T,25070261,518.0,0.0,18.0,500.0,0.0,,,,0.0,0,,2025-11
FWD100,25052061,2097.5,0.0,50.0,1975.0,72.5,19955.43,5000.0,C-2,72.5,0,,2025-11
FWD100,25071661,3655.0,0.0,0.0,975.0,2680.0,,,B-2,2680.0,0,,2025-11
FWD100,25071661,5850.0,0.0,0.0,3400.0,2450.0,,,E-5,2450.0,0,,2025-11
FWD100,25080460,8753.8,0.0,0.0,0.0,8752.93,,,E-4,8752.93,0,,2025-11
FWD100,25080460,1000.0,0.0,0.0,0.0,1000.0,,,A-3,1000.0,0,,2025-11
瑞克100,25080460,5000.0,0.0,0.0,0.0,5000.0,,,E-5,5000.0,0,,2025-11
FWD173,25052061,0.0,50.0,0.0,50.0,0.0,0.0,,,0.0,0,,2025-11
FWD100,23123060,672.0,0.0,0.0,200.0,472.0,472.0,,C-2,472.0,0,,2025-11
FWD100K,25040361,7313.0,0.0,0.0,1800.0,5513.0,5513.0,,E-3,5513.0,0,,2025-11
FWD100W,25061460,899.0,0.0,0.0,0.0,899.0,899.0,,C-1,899.0,0,,2025-11
FWD101,25101861,15253.0,0.0,0.0,501.0,14752.0,14752.0,1000.0,E-3,14752.0,0,,2025-11
FWD101T,25030661,200.0,0.0,0.0,0.0,200.0,3850.0,,B-1,200.0,0,,2025-11
FWD101T,25060562,4050.0,0.0,0.0,400.0,3650.0,,,C-1,3650.0,0,,2025-11
FWD173,25011361,762.0,0.0,0.0,25.0,737.0,7580.0,1000.0,C-2,737.0,0,,2025-11
FWD173,25061960,9843.0,0.0,0.0,3000.0,6843.0,,,C-2,6843.0,0,,2025-11
FWD173K,25081660,1714.0,0.0,0.0,600.0,1114.0,1114.0,,B-1,1114.0,0,,2025-11
FWD103,25102564,550.0,11041.0,0.0,1500.0,10091.0,10091.0,1000.0,E-2,10091.0,0,,2025-11
FWD103,25102564,0.0,6000.0,0.0,6000.0,0.0,,,,0.0,0,,2025-11
FWD151,,0.0,0.0,0.0,0.0,0.0,2523.49,1000.0,,0.0,0,,2025-11
FWD151,24081461,2676.49,0.0,0.0,153.0,2523.49,,,E3-D2,2523.49,0,2个零头,2025-11
FWD151K,25050860,700.0,0.0,0.0,0.0,700.0,700.0,,B-1,700.0,0,,2025-11
FWD153,25010960,1358.35,0.0,0.0,152.0,1206.35,1206.35,1000.0,E-1,1201.35,-5,,2025-11
FWD153,24112160,2000.0,0.0,0.0,0.0,2000.0,2000.0,,A-2,2000.0,0,,2025-11
FWD163,24090760,3169.8,0.0,0.0,0.0,3169.8,3169.8,745.0,B-2,3169.8,0,2个另头,2025-11
HC010AS(云母粉）,25031962,439.5,0.0,0.0,0.0,439.5,439.5,,B-1,439.5,0,,2025-11
FWD104Z,25061661,2669.37,0.0,0.0,0.0,2669.37,2669.37,,棚,2669.37,0,,2025-11
FWD001,17092062,0.3,0.0,0.0,0.0,0.3,2672.1,,E-1,0.3,0,,2025-11
FWD001,15120460,25.0,0.0,0.0,0.0,25.0,,,E-1,25.0,0,退,2025-11
FWD001,25062063,2646.8,0.0,0.0,0.0,2646.8,,,D-2,2646.8,0,,2025-11
FWD205,25090961,3150.0,0.0,0.0,609.0,2541.0,7841.0,800.0,2C-1,2541.0,0,,2025-11
FWD205,25090961,5000.0,0.0,0.0,0.0,5000.0,,,2C-2,5000.0,0,,2025-11
FWD205,25022460,600.0,0.0,0.0,300.0,300.0,,,A-3,300.0,0,,2025-11
FWD2205G,25031963,1328.0,0.0,0.0,100.0,1228.0,1228.0,500.0,2B-3,1228.0,0,,2025-11
FWD205A,25022260,2259.0,0.0,0.0,325.0,1934.0,1934.0,410.0,E-4,1934.0,0,,2025-11
FWD215,,0.0,0.0,0.0,0.0,0.0,301.76,500.0,,0.0,0,,2025-11
FWD215,24110960,1287.26,0.0,0.0,985.0,301.76,,,2B-3,301.76,0,,2025-11
FWD219,24042061,595.6,0.0,0.0,454.0,141.6,1448.6,500.0,2G-2,141.6,0,,2025-11
FWD219,25091960,1507.0,0.0,0.0,200.0,1307.0,,,2D-2,1307.0,0,,2025-11
FWD219S,25082561,1274.0,0.0,0.0,425.0,849.0,849.0,0.0,C-1,849.0,0,,2025-11
FWD219K,25100866,1487.0,0.0,0.0,0.0,1487.0,1487.0,,2D-2,1487.0,0,,2025-11
FWD225,25080161,6791.5,0.0,0.0,985.0,5806.5,5806.5,773.0,2F-2,5806.5,0,,2025-11
FWD225,25042861,367.0,0.0,0.0,0.0,367.0,367.0,,B-1,367.0,0,,2025-11
FWD225Z,25041060,343.0,0.0,0.0,325.0,18.0,18.0,,D-2,18.0,0,,2025-11
FWD225S,25070862,2459.0,0.0,0.0,600.0,1859.0,1859.0,0.0,2E-2,1859.0,0,,2025-11
